id,question,answer
16,107學年第1學期起通識核心課程如何選填志願及選課？,一、課程初選前通識核心課程(三大領域十一學門)，以選填志願方式辦理。 二、上述每一階段均可填10個志願，第一階段如未篩選到1科者，第二階段仍可再次選填10個志願。 三、如於初選前皆未篩選到1科者，初選時可自行上網選1科通識核心課程。 四、開學後加退選第一階段可選第2科、第二階段可選第3科，每學期至多選修三門。                                      五、選填志願網址：http://www.ais.tku.edu.tw/COS_LOT。 六、初選、加退選網址：http://www.ais.tku.edu.tw/elecos/。
14,上課請假應如何辦理？,請上學務處生活輔導組網頁(開新視窗)http://163.13.243.41:8080/tku/SAI2007M 辦理網路線上請假，並詳閱網路線上請假注意事項。
13,如何申請借用教室？,一、網路借用教室申請流程：(一)各單位借用：進入O.A系統( http://oa.tku.edu.tw/ )→輸入帳號及密碼→「歡迎」→「教室借用申請」→「教室使用情形」查詢可借用之教室→新增表單→提出申請→管理單位簽核→查詢核准表單。 (二)個人借用(適用教師及學生)：.直接點選左列網址( http://www.tku.edu.tw/Chinese/InfoSystem/ )→教室申請系統→填寫學號或人員代號、身分證號碼→「檢視教室」查詢可借用之教室→「申請教室」→提出申請→所屬單位簽核→管理單位簽核→查詢核准表單。 2.學校首頁( http://www.tku.edu.tw/ )→身分別入口(依身分別選擇)→教務資訊系統「教室申請系統」→填寫學號或人員代號、身分證號碼→「檢視教室」查詢可借用之教室→「申請教室」→提出申請→所屬單位簽核→管理單位簽核→查詢核准表單。 二、借用時間：最遲應於借用前一工作天16：00前上網填寫，若逾時則採用「教室借用四聯單」並需親自將該借用單 　　分送至相關單位。 三、社團夜間借用教室請依網路借用教室作業日程表公告日期及教室範圍辦理。
12,如何辦理加、退選課程？,依照行事曆規定之日期，自行以網路辦理初選及加退選。詳細說明請參看當學期課程查詢系統之選課作業日程表及注意事項。
11,各學制學生每學期修習學分數上、下限為何？,一、大學部 (一)日間部：一~三年級士班：（含建築系四年級）：12學分~25學分。 四年級（含建築系五年級）：9學分~25學分，延修生至少1科，至多25學分。       (二)進修學     一~三年級：10學分~25學分。四年級：9學分~25學分，延修生至少1科，至多25學分 (三)二年制在職專班：9學分~20學分。 延修生至少1科，至多20學分。 二、研究所 　　(一)碩、博士班：至少1科，至多15學分。(二)碩士在職專班：至少1科，至多12學分。
10,初選那些學生無法選課？加退選期間前無法進入選課系統？加退選截止後仍未完成註冊，初選時的選課資料是否保留？,一、初選無法選課： 　　欠繳前學期學雜費等費用。 二、加退選無法選課： 　　未完成註冊。 　　（若初選時有選課者，其選課資料會保留。） 三、若加退選截止後仍未完成註冊，則選課資料完全刪除。
9,什麼情況可超修學分？何時辦理？,超修學分之規定：每學期至多超修六學分。 一、研究生：經核准加修學程者。 二、大學部：前學期學業平均成績在80分(等第A)以上、經核准加修輔系、雙主修、學程者。 上述兩項，網路選課即可超修。 三、研究生修習大學部課程及大學部應屆畢業生加修即可畢業者需寫「學生選課報告」經核准始可超修。
8,選課不合規定如不辦理更正，會如何？,一、超修者退選至規定學分數。 二、低修者加選至規定學分數。 三、上課時間衝堂者，則衝堂科目之學期成績均以零分計算。 四、擋修者退選該科。 五、有註冊無選課者加選至規定學分數。
7,106、107學年度入學新生起大學部學生應修那些通識教育課程？,一、基本知能課程：12學分。 中國語文能力表達(2)、外國語文(8)、大學學習(1)、社團學習與實作(1)。 二、通識核心課程：14學分。 人文、社會、科學三大領域至少選2學分，每學門至多2科4學分。
6,104、105學年度入學新生起大學部學生應修那些通識教育課程？,一、基本知能課程：13學分。 中國語文能力表達(3)、外國語文(8)、大學學習(1)、社團學習與實作(1)。 二、通識核心課程：18學分。 人文、社會、科學三大領域至少選2學門4學分，每學門至多2科4學分。
5,如何得知課程異動情形？,一、下載淡江i生活手機APP，點選課程異動。 二、查詢校務行政資訊查詢系統(http://www.emis.tku.edu.tw/)，進入「課程查詢系統」，依表列時間、教室上課。 三、查詢課程查詢系統
4,何時可知暑修開課科目？,約於每年五月底公告，查詢網址： 教務處網頁 http://www.acad.tku.edu.tw/ 「訊息公告」。
3,如何得知個人選課狀況？,一、下載淡江i生活手機APP，點選我的課表。 二、上網查詢：選課(初選、加退選)時即可同步查詢。(網址)： http://www.emis.tku.edu.tw/ 查詢「選課表資料」。 三、核對選課小表：加退選結束第2天，至各系領取。  　 Q4. 何時可知暑修開課科目？ A4. 約於每年五月底公告，查詢網址： 教務處網頁 http://www.acad.tku.edu.tw/ 「訊息公告」。
2,Q2. 課務相關業務網址？,一、查詢當學期課程、教學計畫表及各項須知：課程查詢系統(http://esquery.tku.edu.tw/acad/)。 二、查詢當學期選課資料、考試小表：校務行政資訊查詢系統( http://www.emis.tku.edu.tw/ )→查詢「選課表資料」。 三、查詢歷年課程、教學計畫表：校務行政資訊查詢系統( http://www.emis.tku.edu.tw/ )→課程查詢系統。 四、重新設定校務MIS密碼：校務行政資訊查詢系統( http://www.emis.tku.edu.tw/ )→學生重新設定校務MIS專用密碼。 五、課程初選及加退選期間選課：學生選課系統(http://www.ais.tku.edu.tw/elecos/)。
1,如何查詢各科教學計畫？,一、進入校務行政資訊查詢系統( http://www.emis.tku.edu.tw/ )「課程查詢系統」中選擇「限本學期」或「含歷年至本學期」→點選學期別、課程選項→點選「開課序號」逐科查詢。  二、進入課程查詢系統( http://esquery.tku.edu.tw/acad/ )，選擇科目(可依不同查詢條件設定範圍)，點選「開課序號」逐科查詢。
